,date,publication,words,author,title,intro
0,2019-07-11,Les Echos,517mots,,Macron réunit le gratin de la finance internationale pour le climat,...  et mondiaux se sont engagés à coopérer pour mieux prendre en compte l'impact du  changement  climatique dans leurs politiques d'investissement. Ils s'associent ainsi à une initiative lancée l'an ...
1,2019-06-20,Les Echos,646mots,JOEL COSSARDEAUX,La France a réduit ses émissions de gaz à effet de serre en 2018,  ... Les rejets de gaz à  effet  de  serre ont significativement baissé l'an dernier. La France se remet dans la trajectoire de neutralité carbone d'ici à 2050.  ...
2,2019-07-22,Les Echos,682mots,GUILLAUME BENOIT,La dette verte de la France avoisine les 20 milliards d'euros,"  ...  se dément pas : en 2018, 5,1 milliards ont été levés. Les fonds ont été affectés à la lutte contre le  réchauffement  climatique, la pollution et la préservation de la diversité.  ..."
3,2019-07-30,Les Echos,418mots,GABRIEL NEDELEC,Moody's se renforce dans l'analyse du risque climatique,"  ...  villes. Avec cette acquisition, Moody's entend notamment mieux prendre en compte les effets du  changement  climatique sur la capacité des gouvernements à rembourser leurs emprunts obligataires. Le  réchauffement  climatique menace cette ..."
4,2019-05-21,Les Echos,384mots,JEAN-MARC JANCOVICI,"Le risque, c'est de ne pas agir","  ...  le système social s'opère essentiellement en sens inverse. Comme les émissions de gaz à  effet  de  serre découlent largement de nos activités productives, lutter contre le  changement  climatique rend inévitable d ..."
5,2019-07-22,Les Echos,700mots,,Passoires thermiques : pour un dispositif solidaire de rénovation énergétique,"...  factures d'énergie allégées. Ce qui est en jeu, c'est la lutte contre le  changement  climatique : le bâtiment est responsable de 23 % des émissions de gaz à  effet  de  serre et ..."
6,2019-05-14,Les Echos,664mots,VINCENT COLLEN,Les pétroliers s'attaquent à leurs émissions,  Les compagnies pétrolières et gazières sont des poids lourds du  réchauffement  climatique. Elles sont responsables de plus de 40 % des émissions de gaz à  effet  de  serre comme le CO2 et le ...
7,2019-08-08,Les Echos,730mots,,Nucléaire et changement climatique : haro sur les idées reçues,"...  BVA, 69 % des Français considéreraient que l'électronucléaire contribue à la production de gaz à  effet  de  serre, engendrant l'impression que cette source d'énergie accélère la dégradation du climat. Plusieurs ..."
8,2019-06-17,Les Echos,635mots,JOEL COSSARDEAUX,Les pays du G20 intensifient leurs coopérations en faveur de l'hydrogène,"  ...  devient en effet urgent pour ces pays, qui représentent 80 % des émissions de gaz à  effet  de  serre (GES), de détrôner le pétrole. D'autant qu'en plus d'aggraver le réchauffement ..."
9,2019-05-20,Les Echos,446mots,BRUNO TREVIDIC,Le secteur face au défi environnemental,"  ...  aérien a sousestimé la montée des préoccupations relatives à ses émissions de gaz à  effet  de  serre dans l'opinion publique.  « Nous avons mal communiqué , reconnaît Alexandre de Juniac, l'ancien ..."
