,date,publication,words,author,title,intro
0,2017-03-02,Le Parisien - Paris ,329mots,,Dix projets pour lutter contre le réchauffement climatique,"...  solidarité... Après avoir lancé en octobre un appel à projets pour « adapter » la capitale au  changement  climatique, la mairie désignera cet aprèsmidi les dix entreprises, startup ou associations dont les ..."
1,2017-03-27,Le Parisien - Seine St Denis,319mots,,"« Goûtez, ça ressemble à de la noisette ! »",...  ressources en eau et en nourriture et produisent peu de déchets et de gaz à  effet  de  serre. » Le vendeur qui commercialise la marque sur Internet indique qu'il y a une ...
2,2017-03-04,Le Parisien - Val de Marne,300mots,,Quand la biennale s'illumine,"...  du compositeur américain Michael Gordon. Au fil du spectacle, ils jouent avec les lumières, orchestrées par Sylvie Mélis, pour éveiller les sens du spectateur. Cri d'alarme contre Le  réchauffement  climatique  ..."
3,2017-03-20,Le Parisien - Val d'Oise ,491mots,,"L'hôpital, bon élève de l'écologie","...  Benhamou, directeur adjoint. Transport « Nous avons déjà réduit de 40 % nos émissions de gaz à  effet  de  serre, alors que le protocole Cop 21 demandait que cela soit fait d'ici à ..."
