,date,publication,words,author,title,intro
30,2017-06-09,Libération,149mots,,"Moins d'une semaine après la décision de Donald Trump de sortir de l'accord de Paris, Hawaï prend le chemin inverse.","        ...  qui rentrent dans les critères de la COP 21. La première stipule que  «le réchauffement  climatique est réel» et qu'il pose  «des menaces, immédiates et à long terme sur l'économie ...  "
31,2017-08-29,Libération,284mots,,"Ouragan Harvey : l'urbanisation galopante, faiblesse de Houston","        ...  coupes budgétaires massives de la part de Trump, ne prennent pas en compte le changement  climatique. Même s'il est difficile d'assurer que l'intensité de Harvey a été provoquée par ...  "
32,2017-07-10,Libération,67mots,,Climat,        ...  efficacement contre le terrorisme si on n'a pas une action résolue contre le réchauffement  climatique» a déclenché une avalanche de critiques. Et s'il avait  en partie  raison ? Etablir une corrélation ...  
33,2017-07-11,Libération,1599mots,Nathalie Raulin|Alain Auffray|Laure Bretton|Juliette Deborde,"Fiscalité Macron et Philippe, têtes à couac","    ...  sur les transactions financières (TTF) au niveau européen pour financer la lutte contre le changement  climatique. Après la présidentielle, Paris a donc logiquement annulé une réunion des onze pays européens sur le ...  "
34,2017-06-03,Libération,356mots,Alexandre Hervaud,Nouvel appel du pied à la Silicon Valley,"    ...  l'allocution du président milliardaire tournant le dos à l'accord de Paris sur le  climat, son homologue français s'est exprimé en anglais depuis l'Elysée :  «A tous les scientifiques, ingénieurs ...  "
35,2017-07-22,Libération,3079mots,Isabelle Hanne,"Entre Trump et la télé, c'est l'humour vache","    ... ci est visiblement sorti indemne, voire renforcé. Canines Pour  Buzzfeed, on assiste à un  «changement  climatique dans la comédie postinvestiture», avec un appétit renouvelé du public américain pour des programmes penchant ...  "
36,2017-08-29,Libération,522mots,Aude Massiot,«L'administration Trump est corrompue par l'industrie des énergies fossiles»,"    ...  devant la justice le gouvernement fédéral pour son inaction dans la lutte contre le changement  climatique. L'affaire déposée devant la cour de l'Oregon, en 2015, a été, dans une décision ...  "
37,2017-06-02,Libération,896mots,Frédéric Worms,Luttons contre une Europe irrespirable,"    ...  faut prendre au contraire en un sens absolument littéral (comme disait Deleuze). L'atmosphère, le  climat. Respirer. Ce ne sont pas des images, ni dans l'effet vital de la politique sur ...  "
38,2017-08-16,Libération,1711mots,Isabelle Hanne|BIG,Nebraska : «Ce pipeline n'a rien à faire ici !»,"    ... Terry, lui, n'est  «pas sûr de croire au changement  climatique». «Je suis dehors tous les jours depuis quarantecinq ans, et chaque année est différente. Pour moi, c'est juste mère ...  "
39,2017-06-19,Libération,1633mots,Estelle Pattée,Attaques de requins : sur les dents,"    ...  et l'animal.  «Avec l'augmentation des températures de l'air, causée par le changement  climatique, les gens passent également plus de temps à la plage et dans l'eau, menant à ...  "
40,2017-07-08,Libération,1037mots,Nathalie Versieux,"G20 : à Hambourg, Donald Trump face à 19 Etats","    ... 'a donc pas assisté avec les autres épouses à la visite du Centre d'étude de l'évolution du  climat de Hambourg, inscrite au programme par le chimiste de renom international.  ...  "
41,2017-06-02,Libération,311mots,Christian Losson,Gifle,"    ...  comme celui de l'Otan ou qu'elle se met horsjeu de l'arène  climatique, désormais antichambre des rééquilibrages géopolitiques, l'état d'urgence  climatique impose de ne pas se résigner ...  "
42,2017-06-22,Libération,1057mots,François Musseau,"Portugal : «Les cendres, c'est le pire à venir»","    ...  le feu a peutêtre été provoqué par une cause naturelle, un «orage sec», phénomène  climatique peu courant sous ces latitudes. Trois questions principales ont été posées par le Premier ministre lui ...  "
43,2017-06-06,Libération,452mots,Dominique Plihon|Peter Wahl,Ne sabordez pas la taxe sur les transactions financières,"    ...  le Fonds vert, destiné à aider les pays du Sud à lutter contre le réchauffement  climatique dont ils sont les principales victimes. Voulant profiter du Brexit, les places financières de Paris et ...  "
44,2017-07-15,Libération,989mots,Anastasia Vécrin,Haine des médias : «Les politiques libèrent la parole des esprits agressifs et violents»,"    ... 'a pas trouvé d'autre exutoire face à ses turpitudes. On se retrouve dans un  climat de violence verbale inouïe, passant de la dénonciation à la haine. Et les politiques ont une ...  "
45,2017-06-03,Libération,340mots,Christian Losson,"Palm Beach, 1er juin 2040",    ...  monde quasi sans eau. 200 millions de personnes sont sur les routes de l'exil  climatique. Et le monde n'a jamais connu autant de conflits. Il y a vingttrois ans ...  
46,2017-07-25,Libération,771mots,Eric Jozsef,"Rome, «reine des eaux» au robinet coupé","    ...  Rome, comme ailleurs, on continue à sousévaluer le vrai problème, à savoir le changement  climatique,  pointe dans les colonnes du  Corriere della Sera le grand architecte et essayiste Paolo Portoghesi.  L ...  "
47,2017-08-04,Libération,274mots,Jeanne Laudren,L'Asie du Sud possiblement invivable d'ici 2100,"    La menace du réchauffement  climatique plane audessus de nos têtes. Et ses effets pourraient être encore plus rapides et irrémédiables qu'on ne le pense : l'Asie du Sud, région habitée ...  "
48,2017-07-12,Libération,1124mots,Coralie Schaub,"Gilles Boeuf : «La biodiversité, ce n'est pas une affaire d'écolos farfelus»","    ...  du Sud et provoque des crises d'asthme. Enfin, il faut lutter contre le changement  climatique, qui s'ajoute à tout cela et a des effets délétères sur les écosystèmes et le ...  "
49,2017-06-22,Libération,1432mots,Diane Lisarelli,"Le jardin, espace subversif","    ...  projets qui bourgeonnent depuis plus ou moins longtemps, la concomitance intrigue. Sur fond de crise  climatique, le jardin et l'imaginaire qui lui sont liés s'impose à nouveau comme un symbole ...  "
50,2017-07-29,Libération,1246mots,Sylvain Mouillard,Incendies : la nature face au tragique de répétition,"    ...  que 90 % des incendies sont dus à l'homme. Un phénomène aggravé par le changement  climatique et des périodes de sécheresse de plus en plus longues et drastiques, comme celle qui a ...  "
51,2017-07-07,Libération,919mots,Clémentine Mercier,Le déclic de l'enquête,"    ... 'attaquer à des sujets aussi épineux que les écocides de l'industrie chimique, le réchauffement  climatique, la construction massive de mosquées en Turquie ou l'accroissement du terrorisme au Sahel, en accumulant ...  "
52,2017-07-12,Libération,765mots,Estelle Pattée,"Adieu pangolins, orangs-outangs, guépards ?","    ...  la pêche et le braconnage), la pollution, les maladies, mais aussi les effets du changement  climatique :  «Plusieurs espèces de mammifères qui étaient relativement à l'abri il y a une ou deux ...  "
53,2017-05-26,Libération,764mots,Eric Jozsef,"Avec Trump, un monde de flou","    ...  Sept aborderont les questions de la lutte contre le terrorisme, du libreéchange et du  climat. Protectionnisme Avec, sur ces deux derniers thèmes, une interrogation : quelle est réellement la position de Trump ...  "
54,2017-08-14,Libération,1655mots,Camille Gévaudan,Kourou : un grand pas...,"    ... (Cnes), qui était à Kourou le 1er août pour voir décoller le satellite de surveillance  climatique Venµs :  «On ne peut pas dire qu'ils ont quitté l'école puisqu'ils n ...  "
