,date,publication,words,author,title,intro
0,2019-02-27,Le Parisien - Paris ,497mots,,Sale temps pour les nuages,"        Quand on parle de réchauffement  climatique, ce n'est pas nécessairement à eux qu'on pense. Les nuages, pourtant, jouent un rôle clé dans la régulation de la température sur Terre. Dans ...  "
1,2019-02-22,Le Parisien - Paris ,721mots,,Tous fous de Greta,        ...  à sécher les cours tous les vendredis. Poser avec sa pancarte « Grève scolaire pour le  climat » devant le Parlement suédois était son seul moyen d'attirer l'attention. Le discours qu'elle ...  
2,2019-04-28,Le Parisien - Paris ,624mots,,Mais où est passée l'écologie ?,        ...  chef de l'Etat a pris ses grands airs quand il a parlé d'« urgence  climatique ». Il a annoncé la création d'un conseil de défense écologique et la mise en place ...  
3,2019-02-22,Le Parisien - Paris ,642mots,,ALLONS ENFANTS DE LA PLANÈTE...,"        ...  Il suffit pourtant de faire un rapide tour du globe pour comprendre que la machine  climatique s'est emballée. Au début du mois, l'armée australienne a été déployée dans certaines zones ...  "
4,2019-03-19,Le Parisien - Paris ,975mots,,La gauche hisse le drapeau vert,"        ...  villes de province, progressant d'un même pas dans une « marche du siècle pour le  climat ». Une marche initiée pourtant « hors des murs » partisans et lancée par une société « civile et une ...  "
5,2019-03-25,Le Parisien - Val de Marne,482mots,,Comment rendre le département plus vert et moins pollué ?,"        Environnement Par Agnès Vives Après la Marche du siècle pour le  climat, le conseil départemental du ValdeMarne a dévoilé ses pistes pour lutter contre le réchauffement  climatique. Les élus ont ...  "
6,2019-03-14,Le Parisien - Paris ,449mots,Frédéric Mouchon,Ils demandent justice pour le climat,    ...  si le gouvernement ne leur apportait pas une réponse à la hauteur de « l'urgence  climatique ». Elles qui dénoncent « l'inaction » de l'Etat en la matière n'ont pas été convaincues ...  
7,2019-04-08,Le Parisien - Paris ,358mots,,L'urgence climatique s'invite à la Cité U,"        XIV e Par Céline Carez Unis pour une cause mondiale : l'urgence  climatique. A partir d'aujourd'hui, scientifiques, universitaires, étudiants, politiques... se réunissent à la Cité internationale universitaire de Paris (CIUP ...  "
8,2019-02-15,Le Parisien - Edition Principale ,664mots,,Ils sèchent pour le climat,"        ...  écologiste convaincu. Il est résolu à animer à son échelle les grèves scolaires pour le  climat lancées en août par une Suédoise de 16 ans, Greta Thunberg, et qui depuis, essaiment aux ...  "
9,2019-03-15,Le Parisien - Essonne,403mots,@chevallierccile,Les élèves de Polytechnique serrent les rangs face au réchauffement,"    ...  Par Cécile Chevallier Aujourd'hui, c'est « la grève mondiale de la jeunesse pour le  climat ». Et cela inclut les élèves de l'Ecole polytechnique, qui ont choisi de se réunir dans ...  "
10,2019-03-14,Le Parisien - Essonne ,622mots,,Paris-Dakar à vélo !,"        ...  voulais pas retourner tout de suite en montagne. J'ai réfléchi et je me suis dit : aujourd'hui, qu'estce qu'il y a de plus fort que le  climat ? »  ...  "
11,2019-03-17,Le Parisien - Edition Principale ,436mots,,« On est tous sur le même bateau »,"        ...  République, elle reprend la marche, pancarte à la main. Dessus, elle a écrit : « Si le  climat était une banque, on l'aurait déjà sauvé. » JeanFrançois, commercial dans une entreprise d'armement ...  "
12,2019-02-16,Le Parisien - Edition Principale ,461mots,Nicolas Scheffer,"« 16 oC en février, il y a quelque chose qui cloche ! »","    ...  population Élève de ce lycée, Louis a décidé de sécher l'aprèsmidi pour le  climat. « Nous les lycéens, on est les premiers concernés. C'est à nous de créer un mouvement ...  "
13,2019-01-26,Le Parisien - Oise,114mots,,Devenez ambassadeur du climat,"        ... 'Environnement (URCPIE) propose de s'inscrire à des sessions de formation pour devenir ambassadeur du  climat. Ces classes « Eau et  climat » se composent de cinq journées et d'une demijournée, avec ...  "
