,date,publication,words,author,title,intro
0,2019-12-02,Le Monde,2524mots,Stéphane Foucart,Des décennies de prêche dans le désert,"    Sur la question  climatique, tout regard rétrospectif sur l'accumulation du savoir depuis un demisiècle ne peut produire que deux réactions : regret et consternation d'une part, effroi d'autre part ...  "
1,2019-12-02,Le Monde,2210mots,Audrey Garric,Une course de lenteur pour sauver la Terre,"    ...  Suédoise de 16 ans qui a lancé un mouvement international de grèves scolaires pour le  climat il y a un an, et qui a tancé les chefs d'Etat à l'ONU ...  "
2,2019-12-02,Le Monde,2361mots,Propos recueillis parAudrey Garric et Simon Roger Propos recueillis parAudrey Garric et Simon Roger,"« Face au réchauffement de la planète, nous n'avons plus le temps »","    ...  la défection du Chili, qui fait face à une crise sociale majeure, la 25e conférence  climat des Nations unies (COP25) pourrait donner lieu à un nouvel élan dans la lutte contre le ...  "
3,2019-09-23,Le Monde,1134mots,Audrey Garric,"Dans les rues de New York, « le changement arrive »","    Les grandes foules me rendent anxieuse, mais le changement  climatique encore plus. » Comme sa pancarte le suggère, Jane Gosden s'est fait violence pour descendre dans les rues de New York, vendredi ...  "
4,2019-10-28,Le Monde,810mots,Julien Bouissou,"Le Fonds vert pour le climat va recevoir 9,8 milliards de dollars","    Un nouvel élan pour le financement de la lutte contre le réchauffement  climatique. Les pays donateurs du Fonds vert pour le  climat, créé en 2014 pour soutenir la transition des pays pauvres ...  "
5,2019-09-24,Le Monde,2008mots,"Simon Auffret, Rémi Barroux, Pierre Bouvier et Aline Leclerc","A Paris, une Marche pour le climat dans la confusion","    ...  que pour les nombreuses organisations et associations à l'origine de la Marche pour le  climat, un rendezvous important à deux jours d'un sommet de l'action pour le climat ...  "
6,2019-12-02,Le Monde,1353mots,Audrey Garric,"A la COP25, les Etats pressés de relever leurs ambitions","    ...  de force auquel est parvenue l'Espagne : organiser une conférence des Nations unies sur le  climat, la COP25, en seulement quatre semaines, là où les précédents hôtes disposaient d'une année de ...  "
7,2019-09-21,Le Monde,1269mots,Audrey Garric,L'ONU sonne la mobilisation pour le climat,"    Le dérèglement  climatique est plus rapide que nous. » Depuis des mois, Antonio Guterres n'a de cesse de répéter cet avertissement. Le secrétaire général des Nations unies l'assène à chaque rendez ...  "
8,2019-12-04,Le Monde,1223mots,Sandrine Morel,Climat : les ambitions de l'Espagne,"    L'Espagne est de retour sur la scène  climatique », avait proclamé Teresa Ribera en juin 2018, juste après sa prise de fonctions comme ministre de la transition écologique du gouvernement socialiste, à ...  "
9,2019-09-25,Le Monde,1471mots,Audrey Garric,"A l'ONU, les grands Etats déçoivent sur le climat","    ...  invitée à parler à l'ouverture du sommet exceptionnel des Nations unies (ONU) sur le  climat, lundi 23 septembre, a accusé avec fureur les Etats de ne pas agir dans la lutte ...  "
10,2019-11-06,Le Monde,1280mots,Audrey Garric,Les Etats-Unis officialisent leur retrait de l'accord de Paris,"    ...  aurait, assuretil, sorti les EtatsUnis de l'accord de Paris sur le  climat, un texte qu'il qualifie volontiers de « désastre » et de « tueur d'emplois . En réalité, l ...  "
11,2019-11-23,Le Monde,1127mots,Audrey Garric (à PAris) et Sandrine Morel,"L'organisation de la COP25, un défi pour Madrid","    ...  et des deux amphithéâtres destinés aux assemblées plénières de la 25e conférence mondiale sur le  climat. Des lumières couronnent déjà le plafond, et des planches en bois dessinent le contour de la ...  "
12,2019-12-13,Le Monde,897mots,Audrey Garric,"A la COP25, très peu d'avancées parmi les grands Etats pollueurs","    ...  encore et encore. Les études scientifiques qui se multiplient sur les effets de la crise  climatique, depuis la fonte des glaciers à la disparition des espèces. Et les discours toujours plus vibrants ...  "
13,2019-12-12,Le Monde,941mots,Ursula von der Leyen,Ursula von der Leyen Un « green deal » européen pour ralentir le réchauffement de la planète,"    ...  Green Deal » européen. Notre objectif est de devenir le premier continent neutre sur le plan  climatique d'ici à 2050, pour ralentir le réchauffement de la planète et en atténuer les effets ...  "
14,2019-12-17,Le Monde,1285mots,Audrey Garric,Accord minimal sur le climat à la COP25,"    ...  par le Brésil, annulée par le Chili, la 25e conférence des Nations unies sur le  climat (COP25), finalement hébergée à Madrid, s'est achevée, dimanche 15 décembre, sur des avancées quasi insignifiantes ...  "
15,2019-11-27,Le Monde,1620mots,Audrey Garric,Climat : une action drastique s'impose pour éviter le pire,"    ...  que le temps passe, les efforts à accomplir pour limiter l'ampleur de la crise  climatique s'avèrent toujours plus importants, au risque de devenir insurmontables. Désormais, prévient l'ONU, après « une ...  "
16,2019-12-02,Le Monde,1952mots,Christian Gollier et Jean-Charles Hourcade Propos recueillis par Antoine Reverchon,Christian Gollier et Jean-Charles Hourcade « Le prix du carbone a une place centrale dans la transition environnementale »,"    ...  des lead authors (auteurs) du rapport du Groupe d'experts intergouvernemental sur l'évolution du  climat (GIEC) en 2007, et président élu de l'Association européenne des économistes de l'environnement en ...  "
17,2019-09-18,Le Monde,940mots,Audrey Garric,Les experts français du climat aggravent leurs projections pour 2100,"    ...  n'est fait pour limiter les émissions de gaz à effet de serre, le réchauffement  climatique pourrait atteindre 7 °C d'ici à la fin du siècle, entraînant des conséquences désastreuses pour ...  "
18,2019-09-19,Le Monde,787mots,,"En Australie, les feux de brousse sévissent plus tôt que prévu","        ...  dans des zones subtropicales et côtières qui ne s'enflamment pas normalement », constate celle qui a contribué au sixième rapport du Groupe d'experts intergouvernemental sur l'évolution du  climat (GIEC).  ...  "
19,2019-12-02,Le Monde,1096mots,Rémi Barroux,"Dans les Pyrénées, des animaux jouent les sentinelles du climat","    ...  du Haillan, non loin de Bordeaux, dans le cadre d'un projet baptisé « Sentinelles du  climat », mis en place en 2016 pour une durée de six ans. Ce programme doit permettre d ...  "
20,2019-12-21,Le Monde,928mots,Audrey Garric (service Planète),"Après la COP25, l'utilité des grands-messes sur le climat en question","    ...  Voilà ce que l'on retiendra de la 25e conférence des Nations unies pour le  climat (COP25), qui s'est tenue à Madrid du 2 au 15 décembre. Cette grandmesse, qui ...  "
21,2019-09-19,Le Monde,950mots,Rémi Barroux,Plaidoyer pour une relance de la taxe carbone,"    ...  Parlement et adopté avant la fin de l'année , et que l'urgence du défi  climatique est plus que jamais d'actualité, selon deux nouveaux modèles produits par des scientifiques français et ...  "
22,2019-10-10,Le Monde,1142mots,Propos recueillis par Abel Mestre et Philippe Ricard,« Les verts veulent gouverner pour être utiles »,    ...  nos deux pays et pour le continent. Nous pouvons et nous devons prendre la crise  climatique comme une opportunité pour reconstruire notre force économique afin d'aller vers une tout autre forme ...  
23,2019-12-09,Le Monde,1256mots,Martine Valo,"La santé des océans, enjeu de la COP25",    ...  est brièvement mentionné dans le préambule de l'accord de Paris de 2015 sur le  climat : une petite place pour un milieu qui occupe plus des deux tiers de la surface de ...  
24,2019-10-07,Le Monde,1085mots,Audrey Garric,Climat : 150 citoyens planchent sur les solutions,"    Une France en petit pour résoudre un grand problème : celui de la crise  climatique. Vendredi 4 octobre, 150 Français tirés au sort, rassemblés dans une convention citoyenne pour le  climat, ont commencé ...  "
25,2019-10-11,Le Monde,1071mots,Daniel Boy,Daniel Boy La posture de radicalité absolue d'Extinction Rebellion conduit à l'impuissance,"    ...  émises ces derniers mois, notamment par le Groupe d'experts intergouvernemental sur l'évolution du  climat (GIEC), est pour beaucoup dans la montée en puissance d'un mouvement né il y a ...  "
26,2019-09-30,Le Monde,1020mots,Simon Persico,Greta Thunberg oblige les dirigeants à sortir d'un unanimisme de façade,"    ...  qualificatifs dégradants pleuvent. Porteparole sur la scène internationale d'un mouvement pour l'action  climatique qu'elle a ellemême contribué à dynamiser, Greta Thunberg est devenue une cible de premier ...  "
27,2019-11-08,Le Monde,683mots,Audrey Garric,Climat : 11 000 scientifiques appellent à sauver « notre maison »,"    ...  été aussi inquiets de l'état de la planète en général, et de la crise  climatique en particulier. Dans un vaste appel publié lundi 5 novembre dans la revue BioScience, plus de ...  "
28,2019-10-09,Le Monde,1321mots,Nicolas Chapuis et Audrey Garric Nicolas Chapuis et Audrey Garric,"« On désobéit, parce que l'on n'a plus le choix »","    ...  à travers le monde pour dénoncer l'inaction « criminelle » des gouvernements face à la crise  climatique. En bloquant des ponts, des routes ou des lieux de pouvoir, de manière parfois spectaculaire, ce ...  "
29,2019-12-18,Le Monde,824mots,propos recueillis parRémi Barroux propos recueillis parRémi Barroux,Climat : « Il y a peu d'avancées au vu de la gravité de la situation »,"    ...  à l'énergie atomique et coprésidente du Groupe d'experts intergouvernemental sur l'évolution du  climat (GIEC), analyse les conclusions de la conférence sur le  climat (COP25) ainsi que le « green deal ...  "
