,date,publication,words,author,title,intro
0,2018-03-07,Le Monde,947mots,,La Constitution pourrait intégrer le défi climatique,"        La lutte contre le réchauffement  climatique devrait trouver une place dans la Constitution à l'occasion de la réforme des institutions. Le premier ministre, qui débute les consultations mardi 6 mars, devait ...  "
1,2018-04-06,Le Monde,657mots,Simon Roger,Environnement : une proposition a minima selon les ONG,"    ...  la réforme institutionnelle, pour faire immédiatement réagir les associations qui débattent de la place du  climat dans la Constitution. « Le projet de loi constitutionnel inscrira l'impératif de lutte contre le changement ...  "
2,2018-03-19,Le Monde,1059mots,Simon Roger,Le GIEC reçoit le soutien de la France et de l'Europe,"    ...  Lee a le sourire. Le président du Groupe d'experts ­intergouvernemental sur l'évolution du  climat, plus connu sous son acronyme, le GIEC, devrait conserver l'assise budgétaire sur laquelle l'institution ...  "
3,2018-02-09,Le Monde,930mots,Clément Guillou,"Les pistes, « victimes » du coup de chaud","    ...  de Pyeongchang, ce n'est pas en Corée du Sud que la menace du changement  climatique sera ressentie le plus vivement. Pourtant, les sports d'hiver et leur vitrine, les Jeux olympiques ...  "
4,2018-03-23,Le Monde,823mots,Simon Roger,Paris vise la neutralité carbone en 2050,"    ...  fiche », les élus de la capitale procédaient à une ultime revue de détail du Plan  climat, air, énergie destiné à faire de Paris une ville neutre en carbone et alimentée 100 % par ...  "
5,2018-04-06,Le Monde,974mots,Nicolas Legendre,"Avec le réchauffement, la vigne renaît en Bretagne","    ...  équivaut à celle de la Gironde (environ 2 000 heures par an). Le réchauffement du  climat devrait consolider ces atouts. « Depuis une trentaine d'années, on a gagné en moyenne un bon ...  "
6,2018-04-16,Le Monde,842mots,propos recueillis par Isabelle Dellerba,Jacinda Ardern « Nous ne souhaitons pas voir la militarisation du Pacifique »,"    ...  Jacinda Ardern effectue une visite officielle en France, lundi 16 avril, pour aborder notamment le  climat et la sécurité dans le Pacifique. Qu'attendezvous de votre rencontre avec Emmanuel Macron? Il ...  "
7,2018-02-02,Le Monde,839mots,Richard Schittly,Climat : le Rhône pourrait baisser de moitié d'ici un siècle,"    ...  correspond à la Seine actuellement en pleine crue , son avenir préoccupe. « Cadence rapprochée » « Le dérèglement  climatique est une réalité, une certitude qui ne concerne pas seulement les îles Fidji », a prévenu Elisabeth ...  "
8,2018-04-25,Le Monde,1338mots,Nathaniel Herzberg,"L'homme, tueur en série des grands mammifères","    ...  la disparition des dinosaures, il y a 66 millions d'années? Un changement brutal du  climat? Ou encore l'homme, chasseur habile et sans scrupule? Dans un article publié dans la revue ...  "
9,2018-03-28,Le Monde,603mots,Pascal Canfin,Le changement climatique crée plus de réfugiés que les guerres,    ...  l'impasse sur l'un des bouleversements majeurs de notre époque : les conséquences du changement  climatique sur la sécurité et la stabilité mondiale. Les rapports annuels du Conseil norvégien pour les réfugiés ...  
